secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,option_price,K,days_to_expiration,spindx,S,r,q
108105,18/1/07,SZP.NM,0,17/2/07,20070118,P,1265000,0.15,0.65,9,640,0.203903,-0.013871,0.000439,13.98384,-17.89073,32304455,1,0,SZP,NM,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.4,1265,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NN,0,17/2/07,20070117,P,1270000,0.15,0.7,0,2365,0.199913,-0.014911,0.000477,14.88121,-18.64469,32304460,1,0,SZP,NN,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.425,1270,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NO,0,17/2/07,20070118,P,1275000,0.45,0.55,13,21233,0.198844,-0.017321,0.000545,16.92067,-21.0633,32303016,1,0,SZP,NO,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.5,1275,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NP,0,17/2/07,20070117,P,1280000,0.45,0.75,0,16784,0.198445,-0.020405,0.000628,19.45173,-24.13819,32310344,1,0,SZP,NP,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.6,1280,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NQ,0,17/2/07,20070117,P,1285000,0.3,0.8,0,854,0.1899,-0.019656,0.000636,18.84382,-22.3414,32308150,1,0,SZP,NQ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.55,1285,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NR,0,17/2/07,20070118,P,1290000,0.55,0.7,10063,1212,0.187727,-0.022243,0.000714,20.92313,-24.48924,32304458,1,0,SZP,NR,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.625,1290,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NS,0,17/2/07,20070117,P,1295000,0.5,0.9,0,1355,0.185108,-0.024897,0.000796,23.00409,-26.51015,32308147,1,0,SZP,NS,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.7,1295,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NT,0,17/2/07,20070118,P,1200000,0.1,0.25,2000,8861,0.251995,-0.005405,0.000156,6.121724,-9.783304,32296150,1,0,SZP,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.175,1200,30,1426.37,1426.37,0.05372753,0.01982594
108105,15/2/07,SPZ.OT,0,17/3/07,20070207,P,700000,0,0.25,0,40465,0.907948,-0.00114,1.00E-05,1.531835,-9.001827,32312232,1,0,SPZ,OT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,700,30,1456.81,1456.81,0.05375857,0.01971548
108105,15/2/07,SVP.CT,0,17/3/07,20070207,C,1700000,0,0.3,0,40215,0.21334,0.005553,0.000184,6.40362,-9.172217,32313199,1,0,SVP,CT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.15,1700,30,1456.81,1456.81,0.05375857,0.01971548
